Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,243,227,222,215,223,427,476,664,579,628,621,706,627,724,728,684,641,630,643,636,622,664,680,1138,1223,1488,1442,1642,1974,2088,2204,2557,2799,2860,2799,3183,3332,3416,4008,4670,5072,5368,7682,8084,8732,10056,10520,10552,9993,9584,10334
Libya,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,159.4,194.0,347,440,526,718,1285,1326,1024,1273,1691,1033,1111,1536,1807,2249,2579,1203,1389,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,1353,1526,1178,1261,1234,1586,1974,2577,2539,2234,2102,3177,. .,. .,. .,6895,8988,8317,. .,. .,. .,. .,. .
Morocco,xxx,xxx,xxx,xxx,xxx,xxx,xxx,111,162,215,251,250,285,303,398,358,312,339,354,455,413,427,512,566,644,758,1114,1563,1793,1597,1600,1842,1877,1945,1416,1272,1823,1596,1597,1723,1864,1830,1922,1907,2012,2065,1902,1897,1987,2010,1703,1289,2332,2219,2350,2284,2371,2393,2465,2749,2936,3142,3165,3392,3876,3843,3549,3570,3675,3697,3761
Tunisia,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,63.1,48.1,48.3,58.3,45.7,48.0,51.4,57.7,55.0,70.3,73.0,82,81,82,117,135,178,198,190,202,267,403,496,339,294,253,229,265,273,251,257,258,269,278,283,325,321,328,324,339,352,349,363,369,397,419,387,420,434,450,537,542,597,713,851,906,841,844,1039
Angola,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,280,359,312,187,163,2618,. .,1227,919,1473,454,5807,2690,1621,1662,2194,2089,2959,3476,3049,4127,4015,4297,4023,4222,5767,6154,3592,2834,2417,1984,1810
Benin,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,16.9,16.8,18.4,20.0,18.9,18.0,15.7,20.8,14.9,26.3,31.6,29.4,32.9,43.6,54.2,51.4,52.3,62.3,61.9,51.3,49.9,. .,. .,. .,. .,. .,. .,. .,. .,30.9,27.9,25.0,45.9,50.1,54.6,55.4,55.4,. .,60.0,. .,. .,. .,72.1,76.1,83.2,97.0,85.8,123.4,90.2,72.0
Botswana,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,15.8,36.1,54.1,59.4,53.7,44.9,45.0,52.4,57.1,83.8,146.7,187,203,255,274,254,266,245,223,206,237,290,276,306,374,399,385,356,322,317,350,374,361,338,327,305,298,344,418,586,548,498,528
Burkina Faso,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,5.8,6.3,18.4,18.8,18.7,12.4,13.5,13.3,13.7,14.0,15.3,15.5,16.6,16.8,17.2,37.1,48.8,45.3,54.3,44.1,43.1,49.4,51.6,49.4,49.7,48.0,71.8,63.4,68.0,85.5,92.7,77.4,75.8,68.6,53.7,54.8,53.3,61.7,60.8,67.8,69.0,68.0,73.0,71.3,84.2,88.8,84.6,115,106,118,121,126,140,152,162,160.6,163,205,306,373
Burundi,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,13.1,13.8,14.5,14.9,18.5,. .,14.1,18.6,26.3,29.0,27.9,33.4,45.7,45.0,38.7,52.2,50.3,58.0,51.9,51.0,53.3,53.2,47.9,57.9,64.8,68.3,70.0,72.0,71.1,74.5,62.0,71.9,77.6,83.2,87.2,75.0,99.4,95.3,96.9,94.1,90.2,75.3,75.7,63.1,. .,. .,. .,67.7,69.8,67.9,69.6,69.7,60.0,65.4,62.5
Cameroon,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,149,151,148,150,152,160,169,172,182,199,204,285,333,327,330,286,256,220,203,210,218,223,216,218,178,176,179,198,224,242,235,234,254,272,290,286,311,326,338,342,365,332,357,375,376,386,420,434,430,436
